mu sigma alpha beta het how
-0.0115137436 0.0003393191 -2.0 1000 0.000385651671 rai
-0.0115137436 0.0003393191 -2.0 3000 0.000385385756 rai
-0.0115137436 0.0003393191 -2.0 5000 0.000386028702 rai
-0.0115137436 0.0003393191 -2.0 7000 0.000385520470 rai
-0.0115137436 0.0003393191 -4.0 0 0.000004082596 rai
-0.0115137436 0.0003393191 -4.0 1000 0.000384574182 rai
-0.0115137436 0.0003393191 -4.0 3000 0.000384409546 rai
-0.0115137436 0.0003393191 -4.0 5000 0.000385844357 rai
-0.0115137436 0.0003393191 -4.0 7000 0.000385034624 rai
-0.0115137436 0.0004551546 0.0 0 0.000004186110 rai
-0.0115137436 0.0004551546 0.0 1000 0.000388701035 rai
-0.0115137436 0.0004551546 0.0 3000 0.000391147074 rai
-0.0115137436 0.0004551546 0.0 5000 0.000388174113 rai
-0.0115137436 0.0004551546 0.0 7000 0.000390706983 rai
-0.0115137436 0.0004551546 -2.0 0 0.000004093935 rai
-0.0115137436 0.0004551546 -2.0 1000 0.000386301472 rai
-0.0115137436 0.0004551546 -2.0 3000 0.000385589925 rai
-0.0115137436 0.0004551546 -2.0 5000 0.000383518117 rai
-0.0115137436 0.0004551546 -2.0 7000 0.000385550698 rai
-0.0115137436 0.0004551546 -4.0 0 0.000004063405 rai
-0.0115137436 0.0004551546 -4.0 1000 0.000382554068 rai
-0.0115137436 0.0004551546 -4.0 3000 0.000385498940 rai
-0.0115137436 0.0004551546 -4.0 5000 0.000384603708 rai
-0.0115137436 0.0004551546 -4.0 7000 0.000383488870 rai
-0.0115137436 0.0006105337 0.0 0 0.000004180228 rai
-0.0115137436 0.0006105337 0.0 1000 0.000390649793 rai
-0.0115137436 0.0006105337 0.0 3000 0.000388515797 rai
-0.0115137436 0.0006105337 0.0 5000 0.000390915520 rai
-0.0115137436 0.0006105337 0.0 7000 0.000390707975 rai
-0.0115137436 0.0006105337 -2.0 0 0.000003998222 rai
-0.0115137436 0.0006105337 -2.0 1000 0.000382842137 rai
-0.0115137436 0.0006105337 -2.0 3000 0.000382945565 rai
-0.0115137436 0.0006105337 -2.0 5000 0.000382546484 rai
-0.0115137436 0.0006105337 -2.0 7000 0.000383678899 rai
-0.0115137436 0.0006105337 -4.0 0 0.000003972624 rai
-0.0115137436 0.0006105337 -4.0 1000 0.000382982735 rai
-0.0115137436 0.0006105337 -4.0 3000 0.000383652148 rai
-0.0115137436 0.0006105337 -4.0 5000 0.000381213396 rai
-0.0115137436 0.0006105337 -4.0 7000 0.000381630706 rai
-0.0115137436 0.0008189556 0.0 0 0.000004172757 rai
-0.0115137436 0.0008189556 0.0 1000 0.000389539327 rai
-0.0115137436 0.0008189556 0.0 3000 0.000391752346 rai
-0.0115137436 0.0008189556 0.0 5000 0.000392090518 rai
-0.0115137436 0.0008189556 0.0 7000 0.000390568994 rai
-0.0115137436 0.0008189556 -2.0 0 0.000003988786 rai
-0.0115137436 0.0008189556 -2.0 1000 0.000380937289 rai
-0.0115137436 0.0008189556 -2.0 3000 0.000380669975 rai
-0.0115137436 0.0008189556 -2.0 5000 0.000381005287 rai
-0.0115137436 0.0008189556 -2.0 7000 0.000380667793 rai
-0.0115137436 0.0008189556 -4.0 0 0.000003947003 rai
-0.0115137436 0.0008189556 -4.0 1000 0.000379252075 rai
-0.0115137436 0.0008189556 -4.0 3000 0.000379902277 rai
-0.0115137436 0.0008189556 -4.0 5000 0.000380568683 rai
-0.0115137436 0.0008189556 -4.0 7000 0.000381703768 rai
-0.0115137436 0.0010985278 0.0 0 0.000004200995 rai
-0.0115137436 0.0010985278 0.0 1000 0.000388662192 rai
-0.0115137436 0.0010985278 0.0 3000 0.000390368401 rai
-0.0115137436 0.0010985278 0.0 5000 0.000390798854 rai
-0.0115137436 0.0010985278 0.0 7000 0.000389813366 rai
-0.0115137436 0.0010985278 -2.0 0 0.000003911307 rai
-0.0115137436 0.0010985278 -2.0 1000 0.000377362968 rai
-0.0115137436 0.0010985278 -2.0 3000 0.000377847017 rai
-0.0115137436 0.0010985278 -2.0 5000 0.000379191679 rai
-0.0115137436 0.0010985278 -2.0 7000 0.000376933896 rai
-0.0115137436 0.0010985278 -4.0 0 0.000003910113 rai
-0.0115137436 0.0010985278 -4.0 1000 0.000375024955 rai
-0.0115137436 0.0010985278 -4.0 3000 0.000376187709 rai
-0.0115137436 0.0010985278 -4.0 5000 0.000377268738 rai
-0.0115137436 0.0010985278 -4.0 7000 0.000376503401 rai
-0.0115137436 0.0014735393 0.0 0 0.000004215289 rai
-0.0115137436 0.0014735393 0.0 1000 0.000388816376 rai
-0.0115137436 0.0014735393 0.0 3000 0.000391455806 rai
-0.0115137436 0.0014735393 0.0 5000 0.000390826721 rai
-0.0115137436 0.0014735393 0.0 7000 0.000391879631 rai
-0.0115137436 0.0014735393 -2.0 0 0.000003878000 rai
-0.0115137436 0.0014735393 -2.0 1000 0.000372857876 rai
-0.0115137436 0.0014735393 -2.0 3000 0.000375226558 rai
-0.0115137436 0.0014735393 -2.0 5000 0.000374062584 rai
-0.0115137436 0.0014735393 -2.0 7000 0.000373593707 rai
-0.0115137436 0.0014735393 -4.0 0 0.000003798467 rai
-0.0115137436 0.0014735393 -4.0 1000 0.000373949433 rai
-0.0115137436 0.0014735393 -4.0 3000 0.000372264766 rai
-0.0115137436 0.0014735393 -4.0 5000 0.000372000309 rai
-0.0115137436 0.0014735393 -4.0 7000 0.000372633457 rai
-0.0115137436 0.0019765710 0.0 0 0.000004288957 rai
-0.0115137436 0.0019765710 0.0 1000 0.000392408818 rai
-0.0115137436 0.0019765710 0.0 3000 0.000394340761 rai
-0.0115137436 0.0019765710 0.0 5000 0.000393504863 rai
-0.0115137436 0.0019765710 0.0 7000 0.000393263022 rai
-0.0115137436 0.0019765710 -2.0 0 0.000003714224 rai
-0.0115137436 0.0019765710 -2.0 1000 0.000368378356 rai
-0.0115137436 0.0019765710 -2.0 3000 0.000370091156 rai
-0.0115137436 0.0019765710 -2.0 5000 0.000370096598 rai
-0.0115137436 0.0019765710 -2.0 7000 0.000369948119 rai
-0.0115137436 0.0019765710 -4.0 0 0.000003706347 rai
-0.0115137436 0.0019765710 -4.0 1000 0.000365255270 rai
-0.0115137436 0.0019765710 -4.0 3000 0.000367285439 rai
-0.0115137436 0.0019765710 -4.0 5000 0.000368009417 rai
-0.0115137436 0.0019765710 -4.0 7000 0.000367413501 rai
-0.0115137436 0.0026513259 0.0 0 0.000004453110 rai
-0.0115137436 0.0026513259 0.0 1000 0.000390181338 rai
-0.0115137436 0.0026513259 0.0 3000 0.000398400018 rai
-0.0115137436 0.0026513259 0.0 5000 0.000398305007 rai
-0.0115137436 0.0026513259 0.0 7000 0.000399613682 rai
-0.0115137436 0.0026513259 -2.0 0 0.000003660654 rai
-0.0115137436 0.0026513259 -2.0 1000 0.000364221833 rai
-0.0115137436 0.0026513259 -2.0 3000 0.000363859242 rai
-0.0115137436 0.0026513259 -2.0 5000 0.000364134433 rai
-0.0115137436 0.0026513259 -2.0 7000 0.000363271071 rai
-0.0115137436 0.0026513259 -4.0 0 0.000003583082 rai
-0.0115137436 0.0026513259 -4.0 1000 0.000362594693 rai
-0.0115137436 0.0026513259 -4.0 3000 0.000361723585 rai
-0.0115137436 0.0026513259 -4.0 5000 0.000360945014 rai
-0.0115137436 0.0026513259 -4.0 7000 0.000362695379 rai
-0.0115137436 0.0035564262 0.0 0 0.000015406730 fedya
-0.0115137436 0.0035564262 0.0 1000 0.000509860601 fedya
-0.0115137436 0.0035564262 0.0 3000 0.000574197586 fedya
-0.0115137436 0.0035564262 0.0 5000 0.000546203985 fedya
-0.0115137436 0.0035564262 0.0 7000 0.000518716060 fedya
-0.0115137436 0.0035564262 -2.0 0 0.000003527469 rai
-0.0115137436 0.0035564262 -2.0 1000 0.000357247071 rai
-0.0115137436 0.0035564262 -2.0 3000 0.000357592610 rai
-0.0115137436 0.0035564262 -2.0 5000 0.000358192263 rai
-0.0115137436 0.0035564262 -2.0 7000 0.000356373089 rai
-0.0115137436 0.0035564262 -4.0 0 0.000003436766 rai
-0.0115137436 0.0035564262 -4.0 1000 0.000353313305 rai
-0.0115137436 0.0035564262 -4.0 3000 0.000354943529 rai
-0.0115137436 0.0035564262 -4.0 5000 0.000352844924 rai
-0.0115137436 0.0035564262 -4.0 7000 0.000353309122 rai
-0.0115137436 0.0047705064 0.0 0 0.000316782944 fedya
-0.0115137436 0.0047705064 0.0 1000 0.000886762142 fedya
-0.0115137436 0.0047705064 0.0 3000 0.000908759800 fedya
-0.0115137436 0.0047705064 0.0 5000 0.000993115184 fedya
-0.0115137436 0.0047705064 0.0 7000 0.000985085995 fedya
-0.0115137436 0.0047705064 -2.0 0 0.000003398107 rai
-0.0115137436 0.0047705064 -2.0 1000 0.000350400616 rai
-0.0115137436 0.0047705064 -2.0 3000 0.000351104213 rai
-0.0115137436 0.0047705064 -2.0 5000 0.000348853881 rai
-0.0115137436 0.0047705064 -2.0 7000 0.000346886400 rai
-0.0115137436 0.0047705064 -4.0 0 0.000003283022 rai
-0.0115137436 0.0047705064 -4.0 1000 0.000343981720 rai
-0.0115137436 0.0047705064 -4.0 3000 0.000343164464 rai
-0.0115137436 0.0047705064 -4.0 5000 0.000344220446 rai
-0.0115137436 0.0047705064 -4.0 7000 0.000343263189 rai
-0.0115137436 0.0063990452 0.0 0 0.000990501587 fedya
-0.0115137436 0.0063990452 0.0 1000 0.001913703080 fedya
-0.0115137436 0.0063990452 0.0 3000 0.002139283310 fedya
-0.0115137436 0.0063990452 0.0 5000 0.002390647400 fedya
-0.0115137436 0.0063990452 0.0 7000 0.002254451770 fedya
-0.0115137436 0.0063990452 -2.0 0 0.000003235984 rai
-0.0115137436 0.0063990452 -2.0 1000 0.000338042996 rai
-0.0115137436 0.0063990452 -2.0 3000 0.000338651227 rai
-0.0115137436 0.0063990452 -2.0 5000 0.000340818850 rai
-0.0115137436 0.0063990452 -2.0 7000 0.000338278681 rai
-0.0115137436 0.0063990452 -4.0 0 0.000003092577 rai
-0.0115137436 0.0063990452 -4.0 1000 0.000332961751 rai
-0.0115137436 0.0063990452 -4.0 3000 0.000332868225 rai
-0.0115137436 0.0063990452 -4.0 5000 0.000334172236 rai
-0.0115137436 0.0063990452 -4.0 7000 0.000334246171 rai
-0.0115137436 0.0085835287 -2.0 0 0.000010039333 fedya
-0.0115137436 0.0085835287 -2.0 1000 0.000468948925 fedya
-0.0115137436 0.0085835287 -2.0 3000 0.000487984063 fedya
-0.0115137436 0.0085835287 -2.0 5000 0.000465490456 fedya
-0.0115137436 0.0085835287 -2.0 7000 0.000493616395 fedya
-0.0115137436 0.0085835287 -4.0 0 0.000002873350 rai
-0.0115137436 0.0085835287 -4.0 1000 0.000320833172 rai
-0.0115137436 0.0085835287 -4.0 3000 0.000321720087 rai
-0.0115137436 0.0085835287 -4.0 5000 0.000320768975 rai
-0.0115137436 0.0085835287 -4.0 7000 0.000321791940 rai
-0.0115137436 0.0115137436 -2.0 0 0.000061330263 fedya
-0.0115137436 0.0115137436 -2.0 1000 0.000563972475 fedya
